"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
22 Kongsberg/Numedal;22;Kongsberg/Numedal;87;100;42;48,28;59;67,82;;;;;;;;
23 Midt-Buskerud;23;Midt-Buskerud;33;100;25;75,76;25;75,76;;;;;;;;
24 Ringerike/Hole;24;Ringerike/Hole;52;100;33;63,46;40;76,92;;;;;;;;
25 Tønsbergregionen;25;Tønsbergregionen;244;100;110;45,08;126;51,64;;;;;;;;
26 Sandefjord/Larvik;26;Sandefjord/Larvik;120;100;66;55;75;62,50;;;;;;;;
27 Grenland;27;Grenland;280;100;237;84,64;240;85,71;;;;;;;;
28 Midt-Telemark;28;Midt-Telemark;70;100;40;57,14;35;50,00;;;;;;;;
29 Øst-Telemark;29;Øst-Telemark;60;100;50;83,33;44;73,33;;;;;;;;
30 Vest-Telemark;30;Vest-Telemark;35;100;12;34,29;28;80,00;;;;;;;;
31 Setesdal;31;Setesdal;40;100;5;12,5;5;12,50;;;;;;;;
32 Arendalregionen;32;Arendalregionen;215;100;144;66,98;156;72,56;;;;;;;;
33 Lister;33;Lister;125;100;61;48,8;70;56,00;;;;;;;;
34 Mandalsregionen;34;Mandalsregionen;75;100;34;45,33;55;73,33;;;;;;;;
35 Kristiansandregionen;35;Kristiansandregionen;300;100;214;71,33;235;78,33;;;;;;;;
36 Dalane;36;Dalane;65;100;27;41,54;30;46,15;;;;;;;;
37 Haugesundregionen;37;Haugesundregionen;184;100;132;71,74;119;64,67;;;;;;;;
38 Ryfylke;38;Ryfylke;65;100;26;40;25;38,46;;;;;;;;
39 Stavangerregionen;39;Stavangerregionen;380;100;271;71,32;282;74,21;;;;;;;;
40 Bergen;40;Bergen;300;100;278;92,67;265;88,33;;;;;;;;
41 Bjørnefjorden;41;Bjørnefjorden;40;100;9;22,5;10;25,00;;;;;;;;
42 Hardanger;42;Hardanger;90;100;28;31,11;30;33,33;;;;;;;;
43 Voss;43;Voss;40;100;15;37,5;0;0,00;;;;;;;;
44 Nordhordland;44;Nordhordland;75;100;12;16;17;22,67;;;;;;;;
45 Osterfjorden;45;Osterfjorden;45;100;8;17,78;6;13,33;;;;;;;;
46 Sunnhordland;46;Sunnhordland;139;100;59;42,45;53;38,13;;;;;;;;
47 Hordaland Vest;47;Hordaland Vest;105;100;55;52,38;60;57,14;;;;;;;;
48 HAFS;48;HAFS;40;100;0;0;0;0,00;;;;;;;;
49 Nordfjord;49;Nordfjord;135;100;30;22,22;33;24,44;;;;;;;;
50 Sogn;50;Sogn;115;100;24;20,87;34;29,57;;;;;;;;
51 Sunnfjord;51;Sunnfjord;100;100;55;55;50;50,00;;;;;;;;
52 Nordmøre;52;Nordmøre;115;100;67;58,26;77;66,96;;;;;;;;
53 Romsdal;53;Romsdal;85;100;60;70,59;69;81,18;;;;;;;;
54 Storfjord;54;Storfjord;20;100;12;60;14;70,00;;;;;;;;
55 Søre Sunnmøre;55;Søre Sunnmøre;115;100;89;77,39;95;82,61;;;;;;;;
56 Ålesundregionen;56;Ålesundregionen;100;100;56;56;66;66,00;;;;;;;;
57 Fosen;57;Fosen;19;100;15;78,95;19;100,00;;;;;;;;
58 Hitra/Frøya;58;Hitra/Frøya;10;100;0;0;10;100,00;;;;;;;;
59 Oppdal/Rennebu;59;Oppdal/Rennebu;20;100;15;75;15;75,00;;;;;;;;
60 Orkdalregionen;60;Orkdalregionen;30;100;25;83,33;25;83,33;;;;;;;;
61 Trondheimsregionen;61;Trondheimsregionen;350;100;284;81,14;287;82,00;;;;;;;;
62 Rørosregionen;62;Rørosregionen;15;100;7;46,67;10;66,67;;;;;;;;
63 Stjørdalsregionen;63;Stjørdalsregionen;65;100;53;81,54;50;76,92;;;;;;;;
64 Innherred;64;Innherred;125;100;112;89,6;110;88,00;;;;;;;;
65 Indre Namdal;65;Indre Namdal;15;100;15;100;15;100,00;;;;;;;;
66 Kystgruppen;66;Kystgruppen;30;100;31;103,33;25;83,33;;;;;;;;
67 Midtre Namdal;67;Midtre Namdal;43;100;45;104,65;43;100,00;;;;;;;;
68 Sør-Helgeland;68;Sør-Helgeland;50;100;24;48;40;80,00;;;;;;;;
69 HALD;69;HALD;55;100;40;72,73;40;72,73;;;;;;;;
70 Ytre Helgeland;70;Ytre Helgeland;0;.;0;.;0;.;;;;;;;;
71 Mosjøregionen;71;Mosjøregionen;40;100;33;82,5;36;90,00;;;;;;;;
72 Ranaregionen;72;Ranaregionen;80;100;64;80;70;87,50;;;;;;;;
73 Salten;73;Salten;170;100;105;61,76;143;84,12;;;;;;;;
74 Ofoten;74;Ofoten;80;100;42;52,5;60;75,00;;;;;;;;
75 Lofoten;75;Lofoten;80;100;79;98,75;70;87,50;;;;;;;;
76 Vesterålen;76;Vesterålen;130;100;83;63,85;90;69,23;;;;;;;;
77 Sør-Troms;77;Sør-Troms;55;100;104;189,09;45;81,82;;;;;;;;
78 Midt-Troms;78;Midt-Troms;100;100;56;56;65;65,00;;;;;;;;
79 Tromsøregionen;79;Tromsøregionen;110;100;112;101,82;100;90,91;;;;;;;;
80 Nord-Troms;80;Nord-Troms;40;100;21;52,5;23;57,50;;;;;;;;
81 Vest-Finnmark;81;Vest-Finnmark;75;100;58;77,33;45;60,00;;;;;;;;
82 Midt-Finnmark;82;Midt-Finnmark;15;100;11;73,33;15;100,00;;;;;;;;
83 Øst-Finnmark;83;Øst-Finnmark;120;100;101;84,17;106;88,33;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
